year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit

0,0,0,478000,1071000,1549000,633000,0,0
0,1,1,478000,1071000,1549000,0,0,0
0,2,2,478000,1071000,1549000,0,0,0
0,3,3,478000,1071000,1549000,0,0,0
0,4,4,478000,1071000,1549000,0,0,0
0,5,5,478000,1071000,1549000,0,0,0
0,6,6,478000,1071000,1549000,0,0,0
0,7,7,478000,1071000,1549000,0,0,0
0,8,8,478000,1071000,1549000,0,0,0
0,9,9,478000,1071000,1549000,0,0,0
0,10,10,478000,1071000,1549000,0,0,0
0,11,11,478000,1071000,1549000,0,0,0
0,12,12,478000,1071000,1549000,0,0,0
0,13,13,478000,1071000,1549000,0,0,0
0,14,14,478000,1071000,1549000,0,0,0
0,15,15,478000,1071000,1549000,0,0,0
0,16,16,478000,1071000,1549000,0,0,0
0,17,17,478000,1071000,1549000,0,0,0
0,18,18,478000,1071000,1549000,0,0,0
0,19,19,478000,1071000,1549000,0,0,0
0,20,20,478000,1071000,1549000,0,0,0
0,21,21,478000,1071000,1549000,0,0,0
0,22,22,478000,1071000,1549000,0,0,0
0,23,23,478000,1071000,1549000,0,0,0
0,24,24,478000,1071000,1549000,0,0,0
0,25,25,478000,1071000,1549000,0,0,0
0,26,26,478000,1071000,1549000,0,0,0
0,27,27,478000,1071000,1549000,0,0,0
0,28,28,478000,1071000,1549000,0,0,0
0,29,29,478000,1071000,1549000,0,0,0
0,30,30,478000,1071000,1549000,0,0,0
0,31,31,478000,1071000,1549000,0,0,0
0,32,32,478000,1071000,1549000,0,0,0
0,33,33,478000,1071000,1549000,0,0,0
0,34,34,478000,1071000,1549000,0,0,0
0,35,35,478000,1071000,1549000,0,0,0
0,36,36,478000,1071000,1549000,0,0,0
0,37,37,478000,1070000,1548000,0,0,1000
0,38,38,478000,1070000,1548000,0,0,1000
0,39,39,478000,1070000,1548000,0,0,1000
0,40,40,478000,1070000,1548000,0,0,1000
0,41,41,478000,1070000,1548000,0,0,1000
0,42,42,478000,1070000,1548000,0,0,1000
0,43,43,478000,1070000,1548000,0,0,1000
0,44,44,478000,1070000,1548000,0,0,1000
0,45,45,478000,1070000,1548000,0,0,1000
0,46,46,478000,1070000,1548000,0,0,1000
0,47,47,478000,1070000,1548000,0,0,1000
0,48,48,478000,1070000,1548000,0,0,1000
0,49,49,478000,1070000,1548000,0,0,1000
0,50,50,478000,1070000,1548000,0,0,1000
0,51,51,478000,1070000,1548000,0,0,1000
0,52,52,478000,1070000,1548000,0,0,1000
0,53,53,478000,1070000,1548000,0,0,1000
0,54,54,478000,1070000,1548000,0,0,1000
0,55,55,478000,1070000,1548000,0,0,1000
0,56,56,478000,1070000,1548000,0,0,1000
0,57,57,478000,1070000,1548000,0,0,1000
0,58,58,478000,1070000,1548000,0,0,1000
0,59,59,478000,1070000,1548000,0,0,1000
0,60,60,478000,1070000,1548000,0,0,1000
0,61,61,478000,1070000,1548000,0,0,1000
0,62,62,478000,1070000,1548000,0,0,1000
0,63,63,478000,1070000,1548000,0,0,1000
0,64,64,478000,1070000,1548000,0,0,1000
0,65,65,478000,1070000,1548000,0,0,1000
0,66,66,478000,1070000,1548000,0,0,1000
0,67,67,478000,1070000,1548000,0,0,1000
0,68,68,478000,1070000,1548000,0,0,1000
0,69,69,478000,1070000,1548000,0,0,1000
0,70,70,478000,1070000,1548000,0,0,1000
0,71,71,478000,1070000,1548000,0,0,1000
0,72,72,478000,1070000,1548000,0,0,1000
0,73,73,478000,1070000,1548000,0,0,1000
0,74,74,478000,1070000,1548000,0,0,1000
0,75,75,478000,1070000,1548000,0,0,1000
0,76,76,478000,1070000,1548000,0,0,1000
0,77,77,478000,1070000,1548000,0,0,1000
0,78,78,478000,1070000,1548000,0,0,1000
0,79,79,478000,1070000,1548000,0,0,1000
0,80,80,478000,1070000,1548000,0,0,1000
0,81,81,478000,1070000,1548000,0,0,1000
0,82,82,478000,1070000,1548000,0,0,1000
0,83,83,478000,1070000,1548000,0,0,1000
0,84,84,478000,1070000,1548000,0,0,1000
0,85,85,478000,1070000,1548000,0,0,1000
0,86,86,478000,1070000,1548000,0,0,1000
0,87,87,478000,1070000,1548000,0,0,1000
0,88,88,478000,1070000,1548000,0,0,1000
0,89,89,478000,1070000,1548000,0,0,1000
0,90,90,478000,1070000,1548000,0,0,1000
0,91,91,478000,1070000,1548000,0,0,1000
