year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit

0,0,0,200000,200000,400000,50000,0,0
0,2.0678246484698097,2.0678246484698097,200000,200000,400000,0,0,0
0,4.1356492969396195,4.1356492969396195,200000,200000,400000,0,0,0
0,6.20347394540943,6.20347394540943,200000,200000,400000,0,0,0
0,8.271298593879239,8.271298593879239,200000,200000,400000,0,0,0
0,10.339123242349048,10.339123242349048,200000,200000,400000,0,0,0
0,12.406947890818858,12.406947890818858,200000,200000,400000,0,0,0
0,14.474772539288667,14.474772539288667,200000,200000,400000,0,0,0
0,16.542597187758478,16.542597187758478,200000,200000,400000,0,0,0
0,18.610421836228287,18.610421836228287,200000,200000,400000,0,0,0
0,20.678246484698096,20.678246484698096,200000,200000,400000,0,0,0
0,22.746071133167906,22.746071133167906,200000,200000,400000,0,0,0
0,24.813895781637715,24.813895781637715,200000,200000,400000,0,0,0
0,26.881720430107524,26.881720430107524,200000,199000,399000,0,0,1000
0,28.949545078577334,28.949545078577334,200000,199000,399000,0,0,1000
0,31.017369727047143,31.017369727047143,200000,199000,399000,0,0,1000
0,33.085194375516956,33.085194375516956,200000,199000,399000,0,0,1000
0,35.153019023986765,35.153019023986765,200000,199000,399000,0,0,1000
0,37.220843672456574,37.220843672456574,200000,199000,399000,0,0,1000
0,39.288668320926384,39.288668320926384,200000,199000,399000,0,0,1000
0,41.35649296939619,41.35649296939619,200000,199000,399000,0,0,1000
0,43.424317617866,43.424317617866,200000,199000,399000,0,0,1000
0,45.49214226633581,45.49214226633581,200000,199000,399000,0,0,1000
0,47.55996691480562,47.55996691480562,200000,199000,399000,0,0,1000
0,49.62779156327543,49.62779156327543,200000,199000,399000,0,0,1000
0,51.69561621174524,51.69561621174524,200000,199000,399000,0,0,1000
0,53.76344086021505,53.76344086021505,200000,199000,399000,0,0,1000
0,55.83126550868486,55.83126550868486,200000,199000,399000,0,0,1000
0,57.89909015715467,57.89909015715467,200000,199000,399000,0,0,1000
0,59.96691480562448,59.96691480562448,200000,199000,399000,0,0,1000
0,62.034739454094286,62.034739454094286,200000,199000,399000,0,0,1000
0,64.1025641025641,64.1025641025641,200000,199000,399000,0,0,1000
0,66.17038875103391,66.17038875103391,200000,199000,399000,0,0,1000
0,68.23821339950372,68.23821339950372,200000,199000,399000,0,0,1000
0,70.30603804797353,70.30603804797353,200000,199000,399000,0,0,1000
0,72.37386269644334,72.37386269644334,200000,199000,399000,0,0,1000
0,74.44168734491315,74.44168734491315,200000,199000,399000,0,0,1000
0,76.50951199338296,76.50951199338296,200000,199000,399000,0,0,1000
0,78.57733664185277,78.57733664185277,200000,199000,399000,0,0,1000
0,80.64516129032258,80.64516129032258,200000,199000,399000,0,0,1000
0,82.71298593879239,82.71298593879239,200000,199000,399000,0,0,1000
0,84.7808105872622,84.7808105872622,200000,199000,399000,0,0,1000
0,86.848635235732,86.848635235732,200000,199000,399000,0,0,1000
0,88.91645988420181,88.91645988420181,200000,199000,399000,0,0,1000
0,90.98428453267162,90.98428453267162,200000,199000,399000,0,0,1000
0,93.05210918114143,93.05210918114143,200000,199000,399000,0,0,1000
0,95.11993382961124,95.11993382961124,200000,199000,399000,0,0,1000
0,97.18775847808105,97.18775847808105,200000,199000,399000,0,0,1000
0,99.25558312655086,99.25558312655086,200000,199000,399000,0,0,1000
0,101.32340777502067,101.32340777502067,200000,199000,399000,0,0,1000
0,103.39123242349048,103.39123242349048,200000,199000,399000,0,0,1000
0,105.45905707196029,105.45905707196029,200000,199000,399000,0,0,1000
0,107.5268817204301,107.5268817204301,200000,199000,399000,0,0,1000
0,109.5947063688999,109.5947063688999,200000,199000,399000,0,0,1000
0,111.66253101736972,111.66253101736972,200000,199000,399000,0,0,1000
0,113.73035566583953,113.73035566583953,200000,199000,399000,0,0,1000
0,115.79818031430933,115.79818031430933,200000,199000,399000,0,0,1000
0,117.86600496277914,117.86600496277914,200000,199000,399000,0,0,1000
0,119.93382961124895,119.93382961124895,200000,199000,399000,0,0,1000
0,122.00165425971876,122.00165425971876,200000,199000,399000,0,0,1000
0,124.06947890818857,124.06947890818857,200000,199000,399000,0,0,1000
0,126.13730355665838,126.13730355665838,200000,199000,399000,0,0,1000
0,128.2051282051282,128.2051282051282,200000,199000,399000,0,0,1000
0,130.272952853598,130.272952853598,200000,199000,399000,0,0,1000
0,132.34077750206782,132.34077750206782,200000,199000,399000,0,0,1000
0,134.40860215053763,134.40860215053763,200000,199000,399000,0,0,1000
0,136.47642679900744,136.47642679900744,200000,199000,399000,0,0,1000
0,138.54425144747725,138.54425144747725,200000,199000,399000,0,0,1000
0,140.61207609594706,140.61207609594706,200000,199000,399000,0,0,1000
0,142.67990074441687,142.67990074441687,200000,199000,399000,0,0,1000
0,144.74772539288668,144.74772539288668,200000,199000,399000,0,0,1000
0,146.8155500413565,146.8155500413565,200000,199000,399000,0,0,1000
0,148.8833746898263,148.8833746898263,200000,199000,399000,0,0,1000
0,150.9511993382961,150.9511993382961,200000,199000,399000,0,0,1000
0,153.01902398676592,153.01902398676592,200000,199000,399000,0,0,1000
0,155.08684863523573,155.08684863523573,200000,199000,399000,0,0,1000
0,157.15467328370553,157.15467328370553,200000,199000,399000,0,0,1000
0,159.22249793217534,159.22249793217534,200000,199000,399000,0,0,1000
0,161.29032258064515,161.29032258064515,200000,199000,399000,0,0,1000
0,163.35814722911496,163.35814722911496,200000,199000,399000,0,0,1000
0,165.42597187758477,165.42597187758477,200000,199000,399000,0,0,1000
0,167.49379652605458,167.49379652605458,200000,199000,399000,0,0,1000
0,169.5616211745244,169.5616211745244,200000,199000,399000,0,0,1000
0,171.6294458229942,171.6294458229942,200000,199000,399000,0,0,1000
0,173.697270471464,173.697270471464,200000,199000,399000,0,0,1000
0,175.76509511993382,175.76509511993382,200000,199000,399000,0,0,1000
0,177.83291976840363,177.83291976840363,200000,199000,399000,0,0,1000
0,179.90074441687344,179.90074441687344,200000,199000,399000,0,0,1000
0,181.96856906534325,181.96856906534325,200000,199000,399000,0,0,1000
0,184.03639371381306,184.03639371381306,200000,199000,399000,0,0,1000
0,186.10421836228286,186.10421836228286,200000,199000,399000,0,0,1000
0,188.17204301075267,188.17204301075267,200000,199000,399000,0,0,1000
0,190.23986765922248,190.23986765922248,200000,198000,398000,0,0,2000
0,192.3076923076923,192.3076923076923,200000,198000,398000,0,0,2000
0,194.3755169561621,194.3755169561621,200000,198000,398000,0,0,2000
0,196.4433416046319,196.4433416046319,200000,198000,398000,0,0,2000
0,198.51116625310172,198.51116625310172,200000,198000,398000,0,0,2000
0,200.57899090157153,200.57899090157153,200000,198000,398000,0,0,2000
0,202.64681555004134,202.64681555004134,200000,198000,398000,0,0,2000
0,204.71464019851115,204.71464019851115,209000,203000,412000,0,0,2000
0,206.78246484698096,206.78246484698096,212000,210000,422000,0,0,2000
0,208.85028949545077,208.85028949545077,216000,210000,426000,0,0,2000
0,210.91811414392058,210.91811414392058,218000,211000,429000,0,0,2000
