year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit

0,0,0,200000,200000,400000,50000,0,0
0,2.0678246484698097,2.0678246484698097,200000,200000,400000,0,0,0
0,4.1356492969396195,4.1356492969396195,200000,200000,400000,0,0,0
0,6.20347394540943,6.20347394540943,200000,200000,400000,0,0,0
0,8.271298593879239,8.271298593879239,200000,200000,400000,0,0,0
0,10.339123242349048,10.339123242349048,200000,200000,400000,0,0,0
0,12.406947890818858,12.406947890818858,200000,200000,400000,0,0,0
0,14.474772539288667,14.474772539288667,200000,200000,400000,0,0,0
0,16.542597187758478,16.542597187758478,200000,200000,400000,0,0,0
0,18.610421836228287,18.610421836228287,200000,200000,400000,0,0,0
0,20.678246484698096,20.678246484698096,200000,200000,400000,0,0,0
0,22.746071133167906,22.746071133167906,200000,200000,400000,0,0,0
0,24.813895781637715,24.813895781637715,200000,200000,400000,0,0,0
0,26.881720430107524,26.881720430107524,200000,200000,400000,0,0,0
0,28.949545078577334,28.949545078577334,200000,200000,400000,0,0,0
0,31.017369727047143,31.017369727047143,200000,200000,400000,0,0,0
0,33.085194375516956,33.085194375516956,200000,200000,400000,0,0,0
0,35.153019023986765,35.153019023986765,200000,200000,400000,0,0,0
0,37.220843672456574,37.220843672456574,200000,200000,400000,0,0,0
0,39.288668320926384,39.288668320926384,200000,200000,400000,0,0,0
0,41.35649296939619,41.35649296939619,200000,200000,400000,0,0,0
0,43.424317617866,43.424317617866,200000,200000,400000,0,0,0
0,45.49214226633581,45.49214226633581,200000,200000,400000,0,0,0
0,47.55996691480562,47.55996691480562,200000,200000,400000,0,0,0
0,49.62779156327543,49.62779156327543,200000,200000,400000,0,0,0
0,51.69561621174524,51.69561621174524,200000,200000,400000,0,0,0
0,53.76344086021505,53.76344086021505,200000,200000,400000,0,0,0
0,55.83126550868486,55.83126550868486,200000,200000,400000,0,0,0
0,57.89909015715467,57.89909015715467,200000,200000,400000,0,0,0
0,59.96691480562448,59.96691480562448,200000,200000,400000,0,0,0
0,62.034739454094286,62.034739454094286,200000,200000,400000,0,0,0
0,64.1025641025641,64.1025641025641,200000,200000,400000,0,0,0
0,66.17038875103391,66.17038875103391,200000,200000,400000,0,0,0
0,68.23821339950372,68.23821339950372,200000,200000,400000,0,0,0
0,70.30603804797353,70.30603804797353,199000,200000,399000,0,0,1000
0,72.37386269644334,72.37386269644334,199000,200000,399000,0,0,1000
0,74.44168734491315,74.44168734491315,199000,200000,399000,0,0,1000
0,76.50951199338296,76.50951199338296,199000,200000,399000,0,0,1000
0,78.57733664185277,78.57733664185277,199000,200000,399000,0,0,1000
0,80.64516129032258,80.64516129032258,199000,200000,399000,0,0,1000
0,82.71298593879239,82.71298593879239,199000,200000,399000,0,0,1000
0,84.7808105872622,84.7808105872622,199000,200000,399000,0,0,1000
0,86.848635235732,86.848635235732,199000,200000,399000,0,0,1000
0,88.91645988420181,88.91645988420181,199000,200000,399000,0,0,1000
0,90.98428453267162,90.98428453267162,199000,200000,399000,0,0,1000
0,93.05210918114143,93.05210918114143,199000,200000,399000,0,0,1000
0,95.11993382961124,95.11993382961124,199000,200000,399000,0,0,1000
0,97.18775847808105,97.18775847808105,199000,200000,399000,0,0,1000
0,99.25558312655086,99.25558312655086,199000,200000,399000,0,0,1000
0,101.32340777502067,101.32340777502067,199000,200000,399000,0,0,1000
0,103.39123242349048,103.39123242349048,199000,200000,399000,0,0,1000
0,105.45905707196029,105.45905707196029,199000,200000,399000,0,0,1000
0,107.5268817204301,107.5268817204301,199000,200000,399000,0,0,1000
0,109.5947063688999,109.5947063688999,199000,200000,399000,0,0,1000
0,111.66253101736972,111.66253101736972,199000,200000,399000,0,0,1000
0,113.73035566583953,113.73035566583953,199000,200000,399000,0,0,1000
0,115.79818031430933,115.79818031430933,199000,200000,399000,0,0,1000
0,117.86600496277914,117.86600496277914,199000,200000,399000,0,0,1000
0,119.93382961124895,119.93382961124895,199000,200000,399000,0,0,1000
0,122.00165425971876,122.00165425971876,199000,200000,399000,0,0,1000
0,124.06947890818857,124.06947890818857,199000,200000,399000,0,0,1000
0,126.13730355665838,126.13730355665838,199000,200000,399000,0,0,1000
0,128.2051282051282,128.2051282051282,199000,200000,399000,0,0,1000
0,130.272952853598,130.272952853598,199000,200000,399000,0,0,1000
0,132.34077750206782,132.34077750206782,199000,200000,399000,0,0,1000
0,134.40860215053763,134.40860215053763,199000,200000,399000,0,0,1000
0,136.47642679900744,136.47642679900744,199000,200000,399000,0,0,1000
0,138.54425144747725,138.54425144747725,199000,200000,399000,0,0,1000
0,140.61207609594706,140.61207609594706,199000,200000,399000,0,0,1000
0,142.67990074441687,142.67990074441687,199000,200000,399000,0,0,1000
0,144.74772539288668,144.74772539288668,199000,200000,399000,0,0,1000
0,146.8155500413565,146.8155500413565,199000,200000,399000,0,0,1000
0,148.8833746898263,148.8833746898263,199000,200000,399000,0,0,1000
0,150.9511993382961,150.9511993382961,199000,200000,399000,0,0,1000
0,153.01902398676592,153.01902398676592,199000,200000,399000,0,0,1000
0,155.08684863523573,155.08684863523573,199000,200000,399000,0,0,1000
0,157.15467328370553,157.15467328370553,199000,200000,399000,0,0,1000
0,159.22249793217534,159.22249793217534,199000,200000,399000,0,0,1000
0,161.29032258064515,161.29032258064515,199000,200000,399000,0,0,1000
0,163.35814722911496,163.35814722911496,199000,199000,398000,0,0,2000
0,165.42597187758477,165.42597187758477,199000,199000,398000,0,0,2000
0,167.49379652605458,167.49379652605458,199000,199000,398000,0,0,2000
0,169.5616211745244,169.5616211745244,199000,199000,398000,0,0,2000
0,171.6294458229942,171.6294458229942,199000,199000,398000,0,0,2000
0,173.697270471464,173.697270471464,199000,199000,398000,0,0,2000
0,175.76509511993382,175.76509511993382,199000,199000,398000,0,0,2000
0,177.83291976840363,177.83291976840363,199000,199000,398000,0,0,2000
0,179.90074441687344,179.90074441687344,199000,199000,398000,0,0,2000
0,181.96856906534325,181.96856906534325,199000,199000,398000,0,0,2000
0,184.03639371381306,184.03639371381306,199000,199000,398000,0,0,2000
0,186.10421836228286,186.10421836228286,199000,199000,398000,0,0,2000
0,188.17204301075267,188.17204301075267,199000,199000,398000,0,0,2000
0,190.23986765922248,190.23986765922248,199000,199000,398000,0,0,2000
0,192.3076923076923,192.3076923076923,199000,199000,398000,0,0,2000
0,194.3755169561621,194.3755169561621,199000,199000,398000,0,0,2000
0,196.4433416046319,196.4433416046319,199000,199000,398000,0,0,2000
0,198.51116625310172,198.51116625310172,199000,199000,398000,0,0,2000
0,200.57899090157153,200.57899090157153,199000,199000,398000,0,0,2000
0,202.64681555004134,202.64681555004134,199000,199000,398000,0,0,2000
0,204.71464019851115,204.71464019851115,200000,203000,403000,0,0,2000
0,206.78246484698096,206.78246484698096,203000,211000,414000,0,0,2000
0,208.85028949545077,208.85028949545077,208000,215000,423000,0,0,2000
0,210.91811414392058,210.91811414392058,210000,217000,427000,0,0,2000
0,212.98593879239039,212.98593879239039,214000,222000,436000,0,0,2000
